Path	Lines of Code
CHANGES-2025-11-04.md	360
CLAUDE.md	117
CODING-GUIDELINES.md	3
CONTEXT_ARCHITECTURE.md	78
FAQ.md	11
NICE-DECISIONS.md	27
README.md	44
REFACTORINGS-TODO.md	26
TopicAssignments.md	56
UpdateToTopics.md	34
WORDSTATS_1.1.0_DEPLOYED.md	96
WORDSTATS_UPDATE.md	69
archlens-new.json	127
archlens.json	148
diagrams/old/zeeguu-api-content-retrieval.json	171
diagrams/old/zeeguu-api-inside-api.json	641
diagrams/old/zeeguu-api-inside-core.json	423
diagrams/old/zeeguu-api-top-level-view-depth-1.json	1541
inprogress.md	70
requirements.txt	84
stanza_service/requirements.txt	7
test_durations.txt	33
tools/audio-engleza/README.md	158
tools/audio-engleza/basic_english_for_elderly_romanian.txt	105
tools/migrations/README.md	9
tools/user_word_integrity/README_INTEGRITY_CHECKS.md	202
truckconfig.json	6
zeeguu/core/audio_lessons/prompts/dialogue_lesson--situation-v1.txt	38
zeeguu/core/audio_lessons/prompts/dialogue_lesson--topic-v1.txt	36
zeeguu/core/audio_lessons/prompts/lesson_generation_prompt_v0.txt	29
zeeguu/core/audio_lessons/prompts/meaning_lesson--teacher_challenges_both_dialogue_and_beyond-v2.txt	40
zeeguu/core/audio_lessons/prompts/meaning_lesson--teacher_challenges_both_dialogue_and_beyond.txt	42
zeeguu/core/audio_lessons/prompts/prompt_teacher_challenges_dialogue_only.txt	42
zeeguu/core/content_cleaning/data/junk_patterns_found.json	1082
zeeguu/core/diagrams/reading_sessions.svg	63
zeeguu/core/elastic/elastic_queries.md	172
zeeguu/core/language/EVALUATION_SUMMARY.md	106
zeeguu/core/language/IMPLEMENTATION_DECISIONS.md	511
zeeguu/core/language/ML_CLASSIFIER_README.md	105
zeeguu/core/language/ML_VS_LLM_ANALYSIS.md	100
zeeguu/core/language/PHASE_1_IMPLEMENTATION_COMPLETE.md	178
zeeguu/core/language/README_ML_DIFFICULTY_EVALUATION.md	198
zeeguu/core/language/RECOMMENDATION_ML_AS_PRIMARY.md	238
zeeguu/core/language/TEACHER_CEFR_OVERRIDE_FEATURE.md	164
zeeguu/core/ml_models/binary/tfidf_multi_paywall_detect_metadata.json	9
zeeguu/core/model/BLOCKQUOTE_IMPLEMENTATION.md	209
zeeguu/core/test/test_data/cnn_kathmandu.txt	20
zeeguu/core/test/test_data/der_kleine_prinz.txt	38
zeeguu/core/test/test_data/faz_leichtathletik.txt	30
zeeguu/core/test/test_data/jp_article_example.txt	8
zeeguu/core/test/test_data/random_emails.txt	51
zeeguu/core/test/test_data/random_urls.txt	60
zeeguu/core/test/test_data/spiegel_nancy.txt	8
zeeguu/core/test/test_data/spiegel_venezuela.txt	14
zeeguu/core/test/test_data/verdensbedste_indonesien.txt	25
zeeguu/core/test/test_data/verdensbedste_jorde.txt	35
zeeguu/core/word_filter/data/README.md	3
zeeguu/core/word_filter/data/bad-words/README.md	45
zeeguu/core/word_filter/data/bad-words/USERS.md	24
